frequent,title_es,title_ca,title_pt,title_en,description_es,description_ca,description_pt,description_en
yes,¿Cuándo debo tomar Dion?,Quan haig de prendre Dion?,Quando devo tomar Dion?,When should I take Dion?,"Antes de la aparición de los síntomas de la resaca. Idealmente después de cenar con la primera copa o cerveza del evento, aunque si te lo tomas antes de ir a dromir, aún te hará efecto al día siguiente.","Abans de l'aparició dels símptomes de la ressaca. Idealment després de sopar amb la primera copa o cervesa de l'esdeveniment, tot i que si te'l prens abans d'anar a dormir, encara et farà efecte l'endemà.","O mesmo devo ser tomado antes dos sintomas da ressaca, ou seja durante o consumo de álcool da tua festa, ainda que, até antes de ir dormir podes tomar.","Dion must be taken before the symptoms of the hangover, that is during the alcohol consumption of your party."
yes,"Olvidé tomar Dion, ¿Qué hago?","Vaig oblidar prendre Dion, què faig?","Esqueci-me de tomar Dion, o que faço?","I forgot to take Dion, what do I do?","Si ya tienes resaca, puedes tomar Dion y te ayudará a acelerar la recuperación, pero no hará milagros. Si esto ocurre muy a menudo, recomienda Dion a tus amigos para que alguno pueda recordarte que debes tomarlo.","Si ja tens ressaca, pots prendre Dion i t'ajudarà a accelerar la recuperació, però no farà miracles. Si això succeeix molt sovint, recomana Dion als teus amics per a que algun et pugui recordar que te l'has de prendre.","Se já estás de ressaca, podes tomar Dion, e vai te ajudar a acelerar a recuperação, contudo não haverá milagres. Se isto te acontece frequentemente avisa os teus amigos para que te possam lembrar de tomar.","If you're already hangover, you can take Dion, and it will accelarate your recovery, but there are no miracles. If this happens to you often tell your friends to remind you to take it during the night."
yes,¿Necesito agua para tomar Dion?,Necessito aigua per a prendre Dion?,Necessito de água para tomar Dion?,Do I need water to take a Dion?,"Puedes tomar Dion como cualquier otro comprimido: con agua, solo, o con la ayuda de cualquier método que te facilite su ingestión.","Pots prendre Dion com qualsevol altre comprimit: amb aigua, sol, o amb l'ajuda de qualsevol mètode que faciliti la seva ingestió.","Podes tomar Dion com a ajuda de qualquer método que te ajude a ingestão, como agua ou a bebida alcoólica que estás a consumir.","You can take Dion with the help of any method that helps you ingestion, like water or the alcoholic drink that you are consuming."
yes,¿Puedo tener una sobredosis?,Puc tenir sobredosis?,Posso ter uma dose excessiva?,Can I have an overdose?,"No se han observado efectos de sobredosis por consumo de B12 ni de Cardo Mariano, sin embargo apelamos a tu responsabilidad para no tomar dosis superiores a nuestra recomendación de 1 capsula diaria.","No s'ha observat efectes de sobredosi per consum de B12 ni de Cardo Mariano, de totes maneres, apel·lem a la teva responsabilitat per a no sobrepassar la nostra recomanació d'una càpsula al dia.","Não se observam efeitos de sobre dosagem pelo consumo de Dion, contudo apelamos à tua responsabilidade para não tomares doses superiores aquela que recomendamos, de um comprimido por dia.","There are no overdose effects for Dion's use, but we urge you to not take higher doses than we recommend of pill per day."
yes,¿Dion atenuará el efecto del alcohol?,Dion atenuarà l'efecte de l'alcohol?,Dion atenuará o efeito do álcool?,Dion will diminish the alcohol efect?,"El alcohol entrará en tu torrente sanguíneo independientemente de que hayas tomado Dion, siendo así, el efecto del alcohol será igualmente perjudicial para tu cuerpo.","L'alcohol entrarà al teu torrent sanguini independentment de si has pres Dion, sent així, l'efecte de l'alcohol serà igualment perjudicial per al teu cos.","O álcool entrará na tua corrente sanguínea independentemente de teres tomado Dion ou não, pelo que o efeito do álcool será igualmente prejudicial à tua saúde.","Alcohol will enter your bloodstream regardless of whether you have taken Dion or not, so the effect of alcohol will also be harmful to your health."
yes,¿Tomando Dion podré conducir?,"Prenent Dion, podré conduir?","Tomo um Dion, posso conduzir?",I took a Dion. Can I drive?,"La ingesta de Dion no evitará que el alcohol entre en tu torrente sanguíneo, de modo que por el bien de la sociedad, te pedimos que no conduzcas si bebes alcohol.","La ingesta de Dion no evitarà que l'alcohol entri al teu corrent sanguini, de manera que pel bé de la societat, et demanem que no condueixis si beus alcohol.","A toma de Dion não evitará que o álcool entre da tua corrente sanguínea sendo que, pelo bem da nossa sociedade apelamos à tua responsabilidade de não conduzir se beberes álcool.","Taking Dion will not prevent alcohol from entering your bloodstream, and for the sake of our society we appeal to your responsibility to not drive if you have drunk alcohol."
no,¿Funciona con todos los tipos de resaca?,Funciona per a tots els tipus de ressaca?,Funciona com todos os tipo de ressaca?,Works with all the hangover types?,"Dion ayudará a que tu organismo asimile mejor el alcohol. Si tomas otros productos que puedan producirte malestar, quizá deberías plantearte dejar de tomarlos.","Dion ajudarà a fer que el teu organisme assimili millor l'alcohol. Si prens altres productes que puguin produir-te malestar, potser hauries de plantejar-te deixar de prendre'ls.","O Dion vai ajudar o teu organismo a assimilar melhor o álcool. Se tomas outros produtos que podem produzir-te mau estar, talvez devas deixar de os tomar.","Dion will help your body to better absorb the alcohol. If you are taking other products that may make you unwell, you should stop taking them."
no,¿Me ayudará a tener más sexo?,M'ajudarà a tenir més sexe?,O Dion vai-me a ajudar a ter mais sexo?,Will Dion help having more sex?,"Dion no te ayudará a conseguir encontrar una pareja, esto dependerá únicamente de tus habilidades. Sin embargo, en caso de que logres despertar con alguien a tu lado, haber tomado Dion aumentará las posibilidades de que tanto tú como tu pareja os encontréis de maravilla, pudiendo repetir, y repetir, y repetir tantas veces como queráis o podáis.","Dion no t'ajudarà a trobar parella, això dependrà exclusivament de les teves habilitats. De totes maneres, en cas que aconsegueixis despertar amb algú al teu costat, haver pres Dion augmentarà les possibilitats que tant tu com la teva parella us trobeu perfectament, podent repetir, i repetir, i repetir tantes vegades com vulgueu o pugueu.","O Dion não te vai ajudar a conseguir uma parceira. Isso dependerá apenas das tuas capacidades. Contudo caso tenhas conseguido acordar com uma parceira, que também tenha tomado Dion, têm maior probabilidade de, tanto tu como a tua parceira, possam repetir os vossos momentos de cabeça fresca e bem estar, quantas vezes quanto possível.","Dion will not help you get a partner. That will depend only on your abilities. However, if you have been able to wake up with a partner who has also taken Dion, you are more likely to repeat your good moments as often as possible."
no,Estoy embarazada ¿Puedo tomar Dion?,"Estic embarassada, puc prendre Dion?",Estou grávida. Posso tomar Dion?,I am pragnant. Can I take a Dion?,"Nos alegramos de que hayas gozado de tanto sexo gracias a Dion, que finalmente te hayas quedado embarazada. Como ya sabrás, no se recomienda la ingestión de bebidas alcohólicas por parte de mujeres gestantes o lactantes. Dion te evitará la resaca pero los efectos perjudiciales del alcohol serán igualmente nocivos para tu cuerpo y para el de tu bebé. Si te encuentras en esta situación, te recomendamos que seas responsable y no tomes alcohol ni Dion.","Ens alegrem que hagis gaudit de tant sexe gràcies a Dion, que finalment t'hagis quedat embarassada. Com ja sabràs, no es recomana la ingesta de begudes alcohòliques per part de les dones gestants o lactants. Dion t'evitarà la ressaca, però els efectes perjudicials de l'alcohol seran igualment nocius per al teu cos i el del teu bebè. Si et trobes en aquesta situació, et recomanem que siguis responsable i que no prenguis alcohol ni Dion.","Ficamos muito contentes que tenhas tido muitas e longas noites de prazer graças ao Dion, e que assim tenhas ficado grávida. Contudo, como poderás saber, não se recomenda o consumo de bebidas alcoólicas em mulheres grávidas. O Dion vai te evitar a ressaca, contudo os efeitos prejudiciais do álcool serão muito prejudiciais para a tua saúde e para a do bebe. Se te encontras nesta situação não tomes nem álcool nem Dion.","We are very glad that you had many long nights of pleasure thanks to Dion, and that you have become pregnant. However, as you may know, it is not recommended alcoholic beverages in pregnant women. Dion will prevent you from hangovers, but the harmful effects of alcohol will be very harmful to your health and to the baby. If you find yourself in this situation do not drink neither alcohol or Dion."
no,¿Este producto es mágico?,Aquest producte és màgic?,O Dion é mágico?,Is Dion magical?,"Aunque pueda parecerlo este producto no hace magia, simplemente se basa en aportar los elementos que la naturaleza pone a nuestra disposición para evitar los síntomas producidos por la resaca.","Encara que ho sembli, aquest producte no fa màgia, simplement es basa a aportar els elements que la naturalesa posa a la nostra disposició per a evitar els símptomes produïts per la ressaca.","Ainda que o mesmo possa parecer, este produto não faz magia, simplesmente integra os elemento que a natureza põe à nossa disposição para evitar os horríveis sintomas da ressaca.","Although it may seem, this product does not make magic, simply integrates the elements that nature puts at our disposal to avoid the horrible symptoms of hangover."
no,¿Quieren que me vuleva alcohólico?,Volen que em torni alcohòlic?,Querem que fique alcoólico?,Do you want me to became an alcoholic?,"Nada más lejos de la realidad, queremos que vivas tu vida intensamente, y que si sales de fiesta, no dejes de disfrutar del resto de placeres que la vida pone a tu alcance por haber tomado una copa de mas. Si tienes menos resacas aumentarán tus probabilidades de encontrar nuevas aficiones que no te avoquen al consumo de alcohol.","Res més lluny de la realitat, volem que visquis la teva vida intensament, i que si surts de festa, no deixis de gaudir de la resta de plaers que la vida posa al teu abast per culpa d'haver pres una copa de més. Si tens menys ressaques, augmentaran les probabilitats que trobis noves aficions que no t'avoquin al consum d'alcohol.","Nada está mais longe da verdade. Queremos que vivas a tua vida intensamente e que caso saias de festa, não deixes de desfrutar o resto dos prazeres da vida, apenas por teres bebido uns copos a mais. Se tiveres menos ressacas, irão aumentar as probabilidades de tu encontrares novos passatempos que não estejam relacionados com o consumo de álcool.","Nothing is further from the truth. We want you to live your life intensely and if you went out parting last night, do not fail to enjoy the rest of the pleasures of life, just because you drank a few extra glasses. If you have fewer hangovers, the the odds of you finding new hobbies that are not related to alcohol consumption will increase."
no,¿Puedo alimentarme solamente de Dion?,Puc alimentar-me només de Dion?,Posso alimentar-me só com Dion?,Can I feed myself only with Dion?,"Dion no es un sustitutivo de ningún alimento, desde Dion recomendamos una dieta sana y equilibrada.","Dion no és un substitutiu de cap aliment, des de Dion et recomanem una vida sana i equilibrada.","O Dion não é um substituto de uma dieta saudável e equilibrada. Caso tomes suplementos alimentares que incluam os mesmo composto, recomendamos que os substituas por Dion.","Dion is not a substitute of an healthy and balanced diet. If you take other supplements that include the same compound as Dion, we recommend replacing them with Dion."
